year,tea,sugar,peanuts,coffee,cocoa,wheat,rye,rice,corn,barley,pork,beef,lamb
1942,87.52137326,44.64385939,98.26637641,81.40850537,26.45771019,90.31484287,60.10580067,62.18042915,110.0484175,77.54601227,99.2766703,175.722691,136.9381346
1943,74.16433218,40.56766175,107.764311,76.70281141,24.92836278,102.5944912,92.22572197,61.22073431,129.3592442,114.566474,77.72953298,175.5217108,138.2221104
1944,71.20149888,40.36667671,119.3548387,75.39537713,24.50344751,109.2529326,100.6237525,60.17719907,136.5479069,114.7727273,66.30646444,169.5307167,138.804918
1945,69.61924335,46.97988015,121.078853,74.77437596,23.95892645,110.5096307,122.7589266,58.83992798,138.906253,112.2222222,68.03405985,165.9177095,131.0784626
1946,60.76455076,52.25654963,122.2867897,94.56912371,28.5148837,116.1363814,161.3109503,62.52470921,160.6005026,141.2487206,59.84792183,176.0162928,131.0307245
1947,73.63295148,61.79998614,118.7137205,114.7333367,75.69406169,138.6628503,165.8205523,87.55829272,201.3433098,154.8791406,54.45379062,148.7321293,108.7305663
1948,72.65862754,50.52570572,114.4973743,111.113814,79.88221904,120.0722826,96.48642914,86.09023747,180.0567379,96.34551495,49.23833813,114.1028766,73.19752459
1949,78.13577427,50.16973236,114.5005748,136.5302963,43.88085939,104.1037846,81.74845278,75.06467042,120.0265844,88.88888889,57.74350104,91.32390295,65.06169513
1950,68.94115925,59.48442422,118.8591791,209.55456,64.58922327,106.4005876,88.38966585,62.69866843,134.5827479,98.8372093,52.33890426,62.41623485,33.78982794
1951,80.18800881,62.77309289,105.1131143,206.4614008,66.20722997,108.5262496,95.05853574,61.3867043,148.9324793,96.99769053,44.23171307,57.63766825,36.5256865
1952,65.43950422,45.17580398,107.8014701,200.9690052,64.60171335,101.7955095,105.2569062,65.01820591,143.0298805,103.2015066,39.21676665,59.95796456,34.54264227
1953,77.72775692,36.66624955,108.9586976,216.0973767,67.19824891,88.8884515,78.35245397,72.12920845,127.5282971,87.47663551,53.01552313,66.88348059,45.36544795
1954,111.7132687,34.88399896,119.1772273,287.46804,104.1878412,91.95022747,73.13795029,64.87828281,126.3845246,81.10119048,52.53268964,64.18286811,37.3750058
1955,106.3562815,34.7990444,114.7196993,208.422742,67.84635882,90.99719783,64.31051266,58.35687328,111.439415,68.70799104,41.63761193,76.04141443,46.42892194
1956,101.3479621,36.82698961,108.2010017,212.5298467,48.66629875,95.21649912,69.34181673,55.62914877,114.3237612,72.84768212,38.36748468,129.4020146,85.70903347
1957,89.76047654,52.72320356,97.01025612,198.3906528,52.66845445,91.11047479,62.33501026,53.58240913,96.01616901,63.01953819,50.50860289,110.139368,79.57545789
